timestamp,location,potentialEvapotranspiration
2010-01-01T00:00:00,Lower,5.184
2010-01-02T00:00:00,Lower,5.7888
2010-01-03T00:00:00,Lower,5.4
2010-01-04T00:00:00,Lower,6.2208
2010-01-05T00:00:00,Lower,5.2703999999999995
2010-01-06T00:00:00,Lower,6.0048
2010-01-07T00:00:00,Lower,4.1903999999999995
2010-01-08T00:00:00,Lower,2.808
2010-01-09T00:00:00,Lower,2.2464
2010-01-10T00:00:00,Lower,3.5856000000000003
2010-01-11T00:00:00,Lower,2.6784
2010-01-12T00:00:00,Lower,2.4624
2010-01-13T00:00:00,Lower,2.0304
2010-01-14T00:00:00,Lower,1.512
2010-01-15T00:00:00,Lower,2.8944
2010-01-16T00:00:00,Lower,3.456
2010-01-17T00:00:00,Lower,2.808
2010-01-18T00:00:00,Lower,3.3695999999999997
2010-01-19T00:00:00,Lower,3.1536
2010-01-20T00:00:00,Lower,2.2896
2010-01-21T00:00:00,Lower,1.8576
2010-01-22T00:00:00,Lower,5.0976
2010-01-23T00:00:00,Lower,3.8016
2010-01-24T00:00:00,Lower,2.0304
2010-01-25T00:00:00,Lower,2.8512
2010-01-26T00:00:00,Lower,3.456
2010-01-27T00:00:00,Lower,3.8016
2010-01-28T00:00:00,Lower,4.104
2010-01-29T00:00:00,Lower,2.9375999999999998
2010-01-30T00:00:00,Lower,4.1472
2010-01-31T00:00:00,Lower,3.5856000000000003
2010-02-01T00:00:00,Lower,4.8384
2010-02-02T00:00:00,Lower,4.5792
2010-02-03T00:00:00,Lower,3.9743999999999997
2010-02-04T00:00:00,Lower,3.8448
2010-02-05T00:00:00,Lower,3.5423999999999998
2010-02-06T00:00:00,Lower,3.7152
2010-02-07T00:00:00,Lower,3.1104
2010-02-08T00:00:00,Lower,2.2032
2010-02-09T00:00:00,Lower,1.9871999999999999
2010-02-10T00:00:00,Lower,2.4192
2010-02-11T00:00:00,Lower,1.512
2010-02-12T00:00:00,Lower,0.3456
2010-02-13T00:00:00,Lower,1.2096
2010-02-14T00:00:00,Lower,2.0736
2010-02-15T00:00:00,Lower,1.4256
2010-02-16T00:00:00,Lower,0.7776
2010-02-17T00:00:00,Lower,1.1232
2010-02-18T00:00:00,Lower,1.6416
2010-02-19T00:00:00,Lower,1.8576
2010-02-20T00:00:00,Lower,1.944
2010-02-21T00:00:00,Lower,2.5056
2010-02-22T00:00:00,Lower,1.08
2010-02-23T00:00:00,Lower,2.5056
2010-02-24T00:00:00,Lower,3.1536
2010-02-25T00:00:00,Lower,3.8016
2010-02-26T00:00:00,Lower,2.3328
2010-02-27T00:00:00,Lower,4.1472
2010-02-28T00:00:00,Lower,1.5552
2010-03-01T00:00:00,Lower,2.7648
2010-03-02T00:00:00,Lower,3.1104
2010-03-03T00:00:00,Lower,2.4624
2010-03-04T00:00:00,Lower,1.3392
2010-03-05T00:00:00,Lower,0.864
