888dcc04-5f90-4aec-98e0-9e3976f477c2,location,precipitation_mm,temperature_c
2010-01-01T00:00:00,Top,0.0,11.6
2010-01-02T00:00:00,Top,12.7,13.0
2010-01-03T00:00:00,Top,0.0,12.1
2010-01-04T00:00:00,Top,0.0,14.0
2010-01-05T00:00:00,Top,0.0,11.8
2010-01-06T00:00:00,Top,1.1,13.5
2010-01-07T00:00:00,Top,3.5,9.3
2010-01-08T00:00:00,Top,0.0,6.1
2010-01-09T00:00:00,Top,5.9,4.8
2010-01-10T00:00:00,Top,0.0,7.9
2010-01-11T00:00:00,Top,0.0,5.8
2010-01-12T00:00:00,Top,0.0,5.3
2010-01-13T00:00:00,Top,0.0,4.3
2010-01-14T00:00:00,Top,0.0,3.1
2010-01-15T00:00:00,Top,0.0,6.3
2010-01-16T00:00:00,Top,0.0,7.6
2010-01-17T00:00:00,Top,0.0,6.1
2010-01-18T00:00:00,Top,16.9,7.4
2010-01-19T00:00:00,Top,1.0,6.9
2010-01-20T00:00:00,Top,1.2,4.9
2010-01-21T00:00:00,Top,1.7,3.9
2010-01-22T00:00:00,Top,0.0,11.4
2010-01-23T00:00:00,Top,0.0,8.4
2010-01-24T00:00:00,Top,0.0,4.3
2010-01-25T00:00:00,Top,0.0,6.2
2010-01-26T00:00:00,Top,7.8,7.6
2010-01-27T00:00:00,Top,0.0,8.4
2010-01-28T00:00:00,Top,0.0,9.1
2010-01-29T00:00:00,Top,0.0,6.4
2010-01-30T00:00:00,Top,0.0,9.2
2010-01-31T00:00:00,Top,0.0,7.9
2010-02-01T00:00:00,Top,0.0,10.8
2010-02-02T00:00:00,Top,0.0,10.2
2010-02-03T00:00:00,Top,0.0,8.8
2010-02-04T00:00:00,Top,0.0,8.5
2010-02-05T00:00:00,Top,0.0,7.8
2010-02-06T00:00:00,Top,0.0,8.2
2010-02-07T00:00:00,Top,0.0,6.8
2010-02-08T00:00:00,Top,0.0,4.7
2010-02-09T00:00:00,Top,0.0,4.2
2010-02-10T00:00:00,Top,0.0,5.2
